0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-1.5886056207252715,-0.9051141228590299,-0.8797698201913356,-0.8339985319041208,-1.0735962551347593,-1.4105997266393775,-1.5109876276006906,-1.7581357392124577,-2.0628072689976302,-2.007608157195578,-2.152972539517529,-2.3192530862599696,-2.583333206818956,-2.5990201381594824,-2.461524766751141,-2.8339409393507995,-2.803264078858418,-2.8254035666069437,-3.138246859691704,-3.457116686786788,-3.871298189984189,-4.566031526208214,-4.970259022204229,-5.654800527333438,-6.9955951499107965,-7.7901148928220305,-5.767007776189867,-3.284048663469534,-2.4996190753077956,-2.523064355433496,-2.7008756330093364,-2.4697190016237016,-2.1594608807809563,-1.9983252350606726,-2.330767460409893,-2.183071256724939,-2.2293681506324927,-2.115733666415937,-2.040687550512988,-1.8974795679505854,-1.826622736927234,-1.7230915164007767,-1.446603929202447,-1.249930099441552,-1.238109620024496,-1.0140752367704682,-1.1205673445985962,-1.077985457442082,-1.3543209952920627,-1.5999047987798793,-4.465478168665705,-5.400767085847553,-6.783240840954796,-7.7543986169116845,-7.025131285589751,-6.511408327556818,-6.159009281097554,-5.432654044708895,-4.599907508981023,-4.232177929842721,-3.9688927431003864,-3.919166834239709,-3.898561647944811,-3.7561607750450907,-3.5282437653981935,-3.1384173050187023,-3.1045179226421324,-2.903083152718513,-2.9823573935582113,-2.750544795048561,-2.47752330710609,-2.035737350871851,-1.9534218197845514,-1.7370004836074757,-1.9126561788596645,-2.065996249803329,-2.024837739610329,-1.906361850852895,-2.0219165502424694,-2.162624388584666,-2.189345742843625,-2.0249604066339915,-1.952422756371523,-1.879572406324694,-2.01358978705701,-1.6435700751461364,-1.5413182517648805,-1.470335470076626,-1.778812453601498,-1.8318742678146345,-1.8064358146908048,-1.309260712844563,-1.5440373995263057,-1.2001986707075805,-1.0542110440675394,-0.7712064988408763,-0.6726619685597998,-0.49011007398618694,-0.13595019938919176,-1.5886056207252715
-1.1733162068517127,-1.1262217620394215,-0.9951181363886337,-1.0250695471961693,-1.2789115334747032,-1.3847741864422027,-1.5075736892652607,-1.7640445228833488,-1.9031562480218964,-2.0436652639249715,-2.180072797513946,-2.0996709704865815,-2.420173528647919,-2.4471054540653805,-2.5789534235884712,-2.8411539220888704,-2.8073568517464014,-3.0089524574305924,-3.259906702329741,-3.436295781669768,-3.8955947935939386,-4.331169458133673,-4.727784368168404,-5.141554716950598,-5.757675112399805,-5.799105694659745,-4.976370517690452,-3.789862055246958,-3.048011903401674,-2.82990954484682,-2.8145235713077286,-2.6929053842012474,-2.52453314708171,-2.435549377056708,-2.3893987863204225,-2.410355150254236,-2.1748711489747223,-2.1653665262437083,-1.9877067662515573,-1.8761509525287343,-1.7433830721631371,-1.8273743909963258,-1.455157559926666,-1.4776569775239736,-1.4677773437779305,-1.3438402402058183,-1.2578859049099593,-1.4651634280881312,-1.2542265826752432,-1.9480641308678672,-6.06989028494164,-5.76970299954618,-4.25083704116447,-6.549724950652163,-7.237393179604428,-6.61969638939524,-5.915092406928194,-5.812646829725283,-4.8649088707583985,-4.648569911400302,-4.236657339217829,-3.9168735228240332,-3.8328151497329492,-4.072100940808367,-3.8004952480588226,-3.5992888204378883,-3.3955127853914733,-3.359349616561916,-3.080772715510884,-3.0396356767215154,-2.5697267267023696,-2.4819322718525245,-2.184941071294854,-2.1227939550966237,-2.0126349694713173,-2.154824518864054,-2.073191027331993,-2.1318238452334226,-2.1677017140117427,-2.2607987431314482,-2.11460398158409,-2.108680461234153,-2.017798826969326,-1.9959510773222267,-1.9924986787993268,-1.8896720689008326,-1.6416573853740521,-1.6976611160093023,-1.7283544562975162,-1.8861397520771335,-1.479910207390217,-1.6329121970429723,-1.2817553587362882,-1.3900112528025563,-1.0298903148572116,-0.9907339215250778,-0.8797618407512534,-0.7922371717267958,-0.7417855464210953,-1.1733162068517127
-1.1053174152350445,-1.0474763527967779,-1.0790002172825295,-1.1343765335851137,-1.4006080476420317,-1.3742209521598268,-1.5624454121715503,-1.710192013060985,-1.8619019873680203,-1.8023901328782632,-2.1776141585376223,-2.158598036964937,-2.441927547333768,-2.2916017432792692,-2.5853247723209534,-2.9442134692421758,-2.7446147750589858,-3.087013232676447,-3.2206623465634623,-3.5076965982248147,-3.6939646546597626,-4.097844765907824,-4.326872376604897,-4.5980447582157,-4.877081581391702,-4.837384099651995,-4.31859541856369,-3.774188653954364,-3.329232578350493,-3.0300353597964795,-2.956974859087803,-2.7175636059042363,-2.7625267417023465,-2.5686146655240174,-2.737332729251697,-2.579924634739051,-2.3599723303204936,-2.3033572649034126,-1.9676340186222459,-1.8844844093499484,-1.7632063086087935,-1.8034495097810757,-1.676517066337092,-1.3862402429308447,-1.661618424584399,-1.2475821478781048,-1.3478889471621318,-1.5946209250495,-1.2313552328802033,-1.2881129406619207,-8.734208681521789,-8.215209932625688,-4.419314967234507,-3.6545992585356584,-5.602102318950593,-6.135349368053081,-5.782327645485963,-5.454264101765476,-4.978595072570853,-4.838108298365967,-4.873699016204825,-4.409331836357757,-4.1067873143126565,-4.061037495257622,-3.9806634000949424,-3.8084471242715465,-3.6078859748807957,-3.2572739537233826,-3.302796490218949,-2.9620316829894646,-2.8585084001120804,-2.6690275577423304,-2.574099419313317,-2.3520543400211293,-2.382886044101009,-2.386890452795216,-2.2163547033051936,-2.198214954182893,-2.114033791054664,-2.134193945595435,-2.211070379386706,-2.2886233777325984,-2.2725045274119413,-2.035028242368766,-2.074587691493255,-1.902762420529323,-1.9147401513396962,-1.8082262926508965,-1.88325376621428,-1.7311922266242032,-1.7289028162405442,-1.4014626836688666,-1.5792422833097008,-1.3412298173757613,-1.2163074230221695,-0.9817758009653225,-1.0140840927076928,-0.8893742218691708,-0.977477374451245,-1.1053174152350445
-1.2366540703735507,-1.1256696989340773,-1.1572684458551505,-1.3113438748132422,-1.2784485759137023,-1.4676996264843145,-1.5318736806449351,-1.6906337710785755,-1.7365362471220354,-1.8685219241900202,-2.0860415988769496,-2.122179008653513,-2.341307292461507,-2.2788162691516454,-2.600414190181377,-3.0584123894425965,-2.6938787848144603,-2.959775068637991,-3.199118609173347,-3.45262728430385,-3.59237361651985,-3.8306447474943677,-4.025923739652345,-4.11223018463067,-4.307978811722033,-4.161863274774048,-3.9041148180213616,-3.5921133500561813,-3.277352069481792,-3.2093047914617108,-3.1040267955123317,-2.7698363833159956,-2.7185221058053113,-2.6455501659601843,-2.851893104312135,-2.6663805918662957,-2.3308279439424227,-2.422113662550493,-2.094292264126881,-2.0475250321724756,-1.9099527344424212,-2.043649424431198,-1.7604028999292525,-1.523329284547737,-1.7106096274626479,-1.554488149958917,-1.1926346940508312,-1.857390206815334,-1.0337289219965389,-0.8660800351819452,-8.526221673809035,-11.533252610713292,-5.949466582704372,-2.6997682574302164,-3.0118140356243233,-5.006532991602638,-5.432861345248683,-5.398485166844917,-5.008562581483883,-5.327471282514697,-5.074772630205869,-4.791377886699982,-4.437679486367287,-4.352188394798787,-3.9547449020377785,-4.113302396752367,-3.7690050107606154,-3.597870249397195,-3.2280640538877767,-3.1318421272285772,-2.823642037259751,-2.7079344325035617,-2.5541829665066795,-2.4882263238805797,-2.4362748720317255,-2.731297341062379,-2.565398057049559,-2.299181221818844,-1.9949208454066882,-2.121195884559905,-2.0905069229054254,-2.452405253746419,-2.445622617563157,-2.231988884687,-2.0410013239378944,-2.122910156996186,-1.930150312664177,-2.0338761097402958,-1.9388386898192247,-1.865934575605482,-1.5560785584284664,-1.6902051777165137,-1.307203121853576,-1.6257904922823716,-1.2208072516820718,-1.1946013763391754,-1.0567927848041165,-1.1726296269286707,-1.0585244534041303,-1.2366540703735507
-1.1676281595822757,-1.294508212409821,-1.2218170731581586,-1.2053061255659059,-1.3484431606564489,-1.4688624007552131,-1.5720277490921448,-1.6295723260215167,-1.8117160265793248,-1.7533242252538548,-2.1102669684065347,-2.002992288036141,-2.4036455570299897,-2.3032194748720523,-2.546736797109173,-3.0917303895933204,-2.699412521554654,-2.9166269299112932,-3.0332827290218143,-3.3314469426641744,-3.4085073410230122,-3.5461423950123865,-3.7167386834793095,-3.7490589731372697,-3.819696641631153,-3.7250872124932806,-3.6037245547837804,-3.372963263651045,-3.315712892927572,-3.248572468641989,-3.203818232074415,-2.9538924744257384,-2.7947458248709136,-2.638721815416714,-2.994636506689263,-2.7966717586354104,-2.386986064936174,-2.433692218386577,-2.341732062632226,-2.138467711567025,-2.0210369987916277,-2.1266702354291134,-1.897967628082529,-1.3990348338876473,-1.8286264377283425,-1.7075695289914572,-1.4365202955337857,-1.74765022550745,-1.2047943626010833,-0.6706015033886814,-8.74680726546425,-12.137989936896101,-8.234187675540484,-2.9161572650450966,-2.2597177874649477,-2.2821647539250796,-4.125182237546699,-5.962811081524731,-5.218611743206465,-5.38915527426013,-5.274472294964422,-4.959960728148039,-4.68655343423583,-4.458653154610168,-4.278462485681704,-4.112912555421762,-3.9924980615010814,-3.7347412111514693,-3.512310005738321,-3.1205808581689802,-3.0580223097922152,-2.770850628814592,-2.7224601267921447,-2.5533987450399263,-2.5376482975927463,-2.867308994659346,-2.564442899629321,-2.4823272035234187,-2.1305139928377033,-2.057981373440973,-2.2461252417686626,-2.367916738475477,-2.6197341727430277,-2.2278276830697132,-2.1882607341761546,-2.091653132917624,-2.2386932858911535,-1.8933685891521015,-2.1038310514009746,-1.7811220331083253,-1.7186799710208804,-1.5257978099584892,-1.69270985729643,-1.5900374603299487,-1.4506731260267043,-1.2383982475856563,-1.3588100273241357,-1.2270704293142471,-1.2602122753699279,-1.1676281595822757
-1.3455985033731241,-1.2954914533344586,-1.267129621166121,-1.261559016864244,-1.3713462196622013,-1.5406949440947901,-1.5529074755973753,-1.7516497761574548,-1.7518284107348638,-1.7506581080758676,-1.9958970754242351,-2.065285520730918,-2.2749953518788595,-2.3437883927638374,-2.5706959084651535,-2.9631673537920302,-2.541962525401322,-2.7691172625818075,-3.0448704874208756,-3.119072398736932,-3.308056776598135,-3.3328388329251384,-3.491757488008062,-3.4470228675284735,-3.4578852325474996,-3.433823825263833,-3.3644629929163927,-3.361458160600592,-3.2076281467268957,-3.1261969497768223,-3.349693890663469,-3.0972992166725306,-2.9310098797260467,-2.5733085176499655,-2.9156174096988923,-2.953142381895543,-2.5325837156044284,-2.5670462051453797,-2.260820559673643,-2.2983145738582387,-2.0787076666371456,-2.26311119157896,-2.0840617141689797,-1.7456931470368666,-1.9489656957319235,-1.857369535655801,-1.3030764382317248,-1.7929145462967,-1.3623466622040834,-0.8415522199650889,-8.6125085482622,-11.886714353339139,-8.461658439840535,-4.9112915492584515,-3.1125207710654648,-2.4596706232956747,-2.068838992498957,-4.601480493380139,-5.386785450883306,-5.427749667361258,-5.464790910624734,-5.314053582992999,-4.962622856269852,-4.727046780382417,-4.444191168408971,-4.29669192583073,-3.9812248017259475,-3.924177124817597,-3.507762360963395,-3.2620356070396443,-3.1012690152898337,-3.024654770166468,-2.85670238765065,-2.857682194003111,-2.8278828515917698,-2.9053893241814266,-2.6301469784370033,-2.40617286734598,-2.112794556251903,-2.133219672984418,-2.404661769613812,-2.556954426610689,-2.5492846824810576,-2.549107211603471,-2.1105275056507136,-2.325829624528999,-2.0554138541620435,-2.076182364648871,-1.9876611138183178,-1.9500550857119892,-1.7043001203542207,-1.7896381925607343,-1.570793747613355,-1.8964869772730009,-1.4925101637947462,-1.4519627866514677,-1.3494828211307162,-1.4422241583572883,-1.2221860765698398,-1.3455985033731241
-1.19881503776455,-1.3289504173064577,-1.2400000234460886,-1.229832644017112,-1.3420875009969526,-1.4985104305577888,-1.5891067140649957,-1.7171526817373044,-1.7604765839371754,-1.6951820262867232,-1.9971381243512867,-1.9354614839155755,-2.3442255539047543,-2.364687121766915,-2.5734792229747794,-2.964160667407941,-2.351393543773953,-2.567862139837189,-2.991437830325367,-3.1941829710796648,-3.183878060057193,-3.2258599513104715,-3.1102300556364373,-3.250232211337,-3.2612109192863348,-3.2532652081361406,-3.2923534944698676,-3.229326240840556,-3.2113710522463577,-3.281856565231075,-3.4997160068208957,-3.150846886261507,-3.12223221480904,-2.5155080555820186,-2.9511809659533244,-3.1325386405637077,-2.697289627438683,-2.557644348495656,-2.349821043938968,-2.293007908004081,-2.2600019267236653,-2.338073658231585,-2.2571789306902215,-1.8094327713706324,-2.0437654102677056,-1.9513270136321066,-1.4933831662181585,-1.8341783629410084,-1.5575873728336576,-0.7267819310807923,-8.774859239037248,-11.58435754363467,-8.233305670342437,-4.8992048444383975,-5.195770432607195,-4.189337111309823,-1.723075699418511,-2.0432811751399673,-3.858016934399911,-5.681282991554787,-5.7460249831887875,-5.4703527136584995,-5.307820739506804,-4.945389492306412,-4.747890351757996,-4.362571617304033,-4.251902806963093,-3.9238028476609843,-3.752159274368728,-3.2581957834034605,-3.179459342618439,-3.0800658348002234,-3.0143732948434803,-2.9810363354875067,-2.838332577306952,-3.187240962655339,-2.7846247352451834,-2.494676593127556,-2.08675901006823,-2.1310273017031833,-2.405257216628716,-2.7149698691998987,-2.886517670789539,-2.65408197999064,-2.375488110926899,-2.177324309439006,-2.2728217797862347,-1.9557322710322298,-2.243793067655277,-1.9747393624804992,-1.9382872166739176,-1.7692624098829834,-1.9861792600427057,-1.8419880933705388,-1.6698332390156199,-1.3904550656908814,-1.4622019973269897,-1.3296034241519996,-1.2629131090176136,-1.19881503776455
-1.437210316425373,-1.3683169346798303,-1.3750510604008686,-1.3765673927257016,-1.4941020128483191,-1.5022189577581853,-1.5965584210548471,-1.7158621132345195,-1.7572621685584988,-1.7343203153184124,-1.932881159352202,-1.9251312803590717,-2.158378858121131,-2.239403730966261,-2.550278371774679,-2.9424782243129033,-2.263825579654068,-2.3365895685933755,-2.9053142764479527,-3.128633641872797,-3.230225841301626,-3.0661506917190517,-2.9835500976446325,-2.849041269666126,-3.128606773439554,-3.1403462381055056,-3.073435308529184,-3.1891607224414673,-3.1659440897787094,-3.196863379370288,-3.5299344793047163,-3.375670094271951,-3.152545876121678,-2.7342707043631593,-2.98866048129566,-3.260226746767441,-2.8100890987975236,-2.7515593375286462,-2.4583206562077593,-2.589675365240646,-2.3729891089274093,-2.4310749930056885,-2.2694129153857525,-2.082729581791722,-2.226660070892017,-2.073755090837923,-1.56968284311123,-1.9262530851480093,-1.2802808333350468,-0.6402217532085368,-8.666961379386978,-11.656504633157418,-7.883505459396829,-4.732708989949365,-5.599054409216692,-6.831991601971831,-3.4057592566077135,-1.9899494461925593,-1.1392158551851388,-3.917754578834138,-6.097981347851039,-5.90110184064446,-5.429831191361914,-5.318720618367368,-4.968987079940615,-4.531727858275,-4.306332078824737,-4.110014452662962,-3.6625758228174825,-3.387306620466731,-3.1609433112457124,-3.230513957935286,-3.1901709747196905,-3.023907521754321,-2.9272361065862267,-3.0665319222023846,-2.8966291759956584,-2.5297563241357963,-2.1018037451167997,-2.2472367045175323,-2.22665923400407,-2.7337882884724176,-2.860016196460504,-2.8616427969888143,-2.438540191623927,-2.3628823312750153,-2.1082957773396855,-2.1846946095468454,-2.3305289333603785,-2.0101189951172924,-1.8761964044815393,-2.037646395674181,-1.8924685164641735,-2.191665541310064,-1.7797338709734292,-1.5273073575465066,-1.5495159992407677,-1.512617009986399,-1.26520328428184,-1.437210316425373
-1.3876550830554004,-1.4892409668588387,-1.4437387797804495,-1.4940408507240919,-1.383733951509586,-1.4790046376879187,-1.5250751395495488,-1.701575143196728,-1.761143921315412,-1.7626359691817293,-1.9976358199173954,-1.7499939305910628,-2.1165913870479764,-2.244598716868658,-2.523616092951452,-2.9538595092512794,-2.232289239859766,-2.241831245437054,-2.7138509655330787,-3.1171979641237426,-3.0577754152342504,-3.1207403334844224,-2.8550997794589255,-2.6610663895456184,-2.8275188418279678,-2.945510236907532,-3.0076909169796466,-3.1163648821407044,-3.109147178429476,-3.170531810966947,-3.5889429989272914,-3.374000760074601,-3.3013160609302212,-2.755707772455656,-3.1414600090959617,-3.260620959268141,-2.879975408388356,-2.8000290495706452,-2.731432701546505,-2.7667940528190633,-2.5684909503361157,-2.457001974826528,-2.37201652944656,-2.267802622391474,-2.4132481124674707,-2.1000669553068203,-1.6120410360627797,-1.9694357929985158,-1.2426300040471314,-0.5493584924046753,-8.469103065074622,-11.31586217800222,-7.993574341124868,-4.647102466143016,-5.5544578807089975,-7.092562073826561,-6.220667777897292,-4.005225678498337,-0.9642498999962898,-0.848782355770689,-4.082392336808967,-6.557523012856325,-5.856771514755164,-5.480284287532555,-5.140232773313951,-4.520153749792728,-4.388552562886049,-4.144302045932081,-3.8404514497229965,-3.361922367899662,-3.23551468083054,-3.177800408062785,-3.2087803069095466,-3.1192185123719547,-2.9527916640624485,-3.0905336762293123,-2.860284130995494,-2.339430988228507,-2.0952638699113764,-2.038116283190833,-2.175113036867689,-2.6250303701259377,-2.9693843794033503,-2.8574858873548834,-2.5667739861178207,-2.306014818615326,-2.409455206621372,-2.0968499145583572,-2.5050003975165316,-2.1912484819584535,-2.0249860551330263,-1.9585420972191407,-2.091230625825842,-2.1183983006375042,-1.887928612804544,-1.659360686835982,-1.5834616006395936,-1.5725238461730375,-1.5204482861512794,-1.3876550830554004
-1.5815086490964392,-1.3831774623611879,-1.5000315165479972,-1.3487090565138198,-1.5214913854562184,-1.417188255949992,-1.6181500759849616,-1.7407893210584324,-1.7684795105399926,-1.8396328787404848,-1.9106402063739407,-1.7485659550651191,-1.9356606481418543,-2.1818456111825086,-2.494501656757907,-2.880928016250773,-2.2522119518800365,-2.180689733450295,-2.64729783709561,-2.941119862408801,-2.9821287098711915,-3.0121973391634347,-2.854495869349912,-2.6876777451357596,-2.636453976739346,-2.7244701794364916,-2.880871224745627,-3.047557550976203,-3.1048066446058438,-3.2672557500693067,-3.6870113099125548,-3.479946574669109,-3.293317192710134,-2.9516560070420854,-3.1700322747373577,-3.40615901550903,-2.9122645562230627,-2.9910055357121688,-2.8079959525116447,-3.0541029462149765,-2.6802835365978335,-2.5799365497424476,-2.4732822061194586,-2.5854048525981965,-2.4910562469530877,-2.169362634934044,-1.6144404322957766,-1.994978558303175,-1.123842650785754,-0.2898269859407422,-7.990917513335849,-11.012457455723782,-7.590396188134025,-4.7904388826104976,-5.317732620866848,-7.150952597152756,-6.406611800759278,-6.98991545926768,-2.9597733376740236,-1.069646470117819,-1.3106946130508832,-4.77458138729167,-6.402157398957687,-5.761536152788578,-5.116450949889354,-4.6245366597132564,-4.298929876694484,-4.163153265601247,-3.815459204257294,-3.4597958397831468,-3.263675288017834,-3.1975757914748226,-3.031693298209383,-3.083978379471098,-2.9774176940280017,-3.2873131933321336,-2.6817825765948347,-2.4585309398597617,-1.9635265465318756,-2.074276240880823,-2.042450664666461,-2.5539071865452567,-3.0669237359642643,-2.8131526722435223,-2.489052856195612,-2.4516463094314824,-2.207388011532233,-2.2141506891008302,-2.5302105527715733,-2.4344438136370874,-1.9384121310082947,-2.3099543010162638,-2.161141638230389,-2.347653760461102,-2.0346839668791996,-1.777254154676848,-1.663295495114112,-1.703403363944732,-1.5373319435847312,-1.5815086490964392
